需求單位,EDM類型,寄件標題,使用標題,發送日期,發送檔數,單檔份數,主題模型,關鍵字名單編號,其他篩選條件,Launchid,寄送數量,收信人數,收信比例,開信人數,開信比例,點擊EDM人數,點擊比例,寄送失敗人數,失敗比例
,,【免費參觀】8/8-8/10願景工程永續行動基地開放參觀，僅此1場，錯過不再!,願景工程,2024-08-01,,,財務政治,,,13382,103933,102238,0.984,51196,0.501,570,0.011,1695,0.016
,,微醺系列課程★啤酒★精釀啤酒與在地風味碰撞的火花,微醺系列,2024-08-01,,,飲食休閒,,,13384,103807,101134,0.974,23458,0.232,296,0.013,2673,0.026
,,實(食)用園藝系列課程★第一次做陽台農夫就上手★,園藝系列,2024-08-02,,,飲食,,,13389,51506,50513,0.981,14613,0.289,306,0.021,993,0.019
,,【聚焦經選】颱風吹翻女兒牆釀死傷責任怎麼算？專家這麼說 ,聚焦經選,2024-08-02,,,房產政治,,,13391,51660,51631,0.999,33381,0.647,877,0.026,29,0.001
,,【橘世代】重拾熱血運動魂《精選熱門運動課》最高現省77折！,橘世代,2024-08-02,,,休閒遊憩,,,13396,104112,103095,0.99,49503,0.48,490,0.01,1017,0.01
,,【限時48HR開放】房價便宜到不科學 為何基隆成為最後購屋天堂？,房價便宜,2024-08-03,,,財務房市,,,13404,51665,51618,0.999,33894,0.657,420,0.012,47,0.001
,,實(食)用園藝系列課程★第一次做陽台農夫就上手★,園藝系列,2024-08-03,,,健康綜合,,,13406,103704,96361,0.929,22948,0.238,488,0.021,7343,0.071
,,避免40歲就失智！健腦遊戲讓你超前部署 ,失智,2024-08-05,,,財務金融,,,13418,40534,30726,0.758,15761,0.513,189,0.012,9808,0.242
,,【免費報名】台灣首場_田瀨和夫與你一起探究獲利與永續兼具的美好契機！,台灣首場,2024-08-05,,,財務政治,,,13423,102710,102002,0.993,50649,0.497,475,0.009,708,0.007
,,琅琅書店｜韓式料理正夯！你吃過這些人氣美食了嗎？《韓味》新書首月85折優惠中,琅琅書店,2024-08-05,,,16771,,,13426,54274,53136,0.979,3346,0.063,22,0.007,1138,0.021
,,【封面故事】開放銀行有開沒有放 消費者為何還是拿不到金融資料主導權？,開放銀行,2024-08-06,,,財務金融,,,13432,51728,51694,0.999,35187,0.681,249,0.007,34,0.001
,,《汪精衛與中國的黑暗時代》：從浪漫的革命者到爭議的叛國者 ,汪精衛,2024-08-06,,,16784,,,13435,47421,46433,0.979,3560,0.077,87,0.024,988,0.021
,,一刻鯨選｜精選好課｜「文化之都巴黎」所謂何來？楊照帶領一探巴黎風采 ,一刻鯨選,2024-08-06,,,16825,,,13438,109579,106257,0.97,7008,0.066,89,0.013,3322,0.03
,,【填問卷抽百杯咖啡】2024退休力檢測,退休力檢測,2024-08-07,,,健康照護,,,13451,103949,101947,0.981,52115,0.511,1255,0.024,2002,0.019
,,開創性能跑旅的劃風快感 全新 Mercedes-AMG GLC Coupe,性能跑旅,2024-08-07,,,財務金融,,,13454,32926,32812,0.997,22863,0.697,83,0.004,114,0.003
